"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Reference","JVM","TestKIR","Native","JS","Dedicated","Enabled","InstrumentPropertyAccessors","Common","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"183305.8","179802.5","15300.145514847569","174939","282308","179064.81603449763","187546.78396550234","commonmain-plain-jar","2589.8589","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7656.4888","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243391.36","245593","10028.956534648934","226177","262906","240611.47507584083","246171.24492415914","commonmain-plain-win-exe","86535.9245","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181007.62","180722","3673.7509824734298","173565","194394","179989.3081810177","182025.9318189823","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2966.6355","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4668.0629","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227625.64","227142.5","3821.7526418529765","221346","239000","226566.30421404386","228684.97578595617","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23180.4888","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181389.88","181134.5","3032.608062176105","176806","190807","180549.28393162528","182230.47606837473","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2966.6355","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4668.0629","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228474.06","227216","6803.774625867014","219340","253624","226588.1498911587","230359.97010884128","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23180.4888","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181176.66","181143","2819.784733497454","175535","189209","180395.0555486354","181958.2644513646","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2764.1234","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
