"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","Enabled","Reference","JVM","TestKIR","Native","Dedicated","CILabel","InstrumentPropertyAccessors","Common","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"145251.28","145101","4898.826048625719","136334","158594","143893.39469741608","146609.16530258392","commonmain-plain-jar","1878.5726","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5655.2256","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142287.42","141500","4429.721569957523","136226","158763","141059.563824933","143515.27617506703","commonmain-plain-linux-exe","15474.1807","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142640.56","142314","3784.5601322063453","136295","150927","141591.53345174977","143689.58654825023","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2101.3587","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3458.2707","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142864.56","142100.5","4740.012331681196","137778","170997","141550.69561384525","144178.42438615474","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34541.3899","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143282.46","143426.5","3458.4428795960434","136451","150333","142323.82854229657","144241.0914577034","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2101.3587","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3458.2707","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142692.78","141787.5","3714.4542120571887","138186","154427","141663.18582139298","143722.37417860702","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34541.3899","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143923.84","143712.5","4075.775786226695","135697","153574","142794.09259076155","145053.58740923845","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2791.2481","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
