"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Native","JVM","Dedicated","CILabel","FlushEarly","JS","Enabled","TestKIR","Common","Methods","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191173.82","188809","11810.127481539057","184441","267505","187900.21967828146","194447.42032171856","commonmain-plain-jar","2771.4271","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8448.9112","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229215.16","222531","20425.702252419367","219886","321975","223553.44419131224","234876.87580868776","commonmain-plain-win-exe","113785.0515","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188601.7","188554.5","2945.566036521708","182903","199673","187785.23075020796","189418.16924979206","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3629.6133","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6218.4341","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220647.14","219900","3358.1861479807512","216863","235109","219716.29829049224","221577.9817095078","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25770.7067","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188251.82","187756.5","2829.272955501942","182275","195018","187467.58554767605","189036.05445232397","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3629.6133","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6218.4341","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223269.08","220460","12975.290368879405","216983","308837","219672.51300338193","226865.64699661804","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25770.7067","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188496.5","188113","2366.528330008896","183297","194521","187840.5318138324","189152.4681861676","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3295.087","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
