"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","JS","FlushEarly","Dedicated","Enabled","TestKIR","InstrumentPropertyAccessors","Common","Methods","Native","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"145407.14","145268.5","4790.994111020879","136416","161946","144079.14418558517","146735.13581441485","commonmain-plain-jar","1889.954","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5628.1754","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142932.38","142728","3084.3566781355207","136658","152015","142077.4399470986","143787.3200529014","commonmain-plain-linux-exe","15759.2063","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144710.9","144436.5","4104.011130241103","137818","156145","143573.32615269863","145848.47384730136","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2452.8955","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3313.8906","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142964.42","143155.5","3214.3317589717917","137193","152238","142073.45269276915","143855.38730723088","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34597.9767","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144209.2","144589.5","4015.0442140549744","136944","150853","143096.28652371536","145322.11347628466","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2452.8955","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3313.8906","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142284.48","142444.5","2321.594009401686","138221","147332","141640.9669720537","142927.99302794633","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34597.9767","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144338.58","144176","4417.2482804366355","136220","153180","143114.1812443937","145562.97875560628","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2230.9677","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3397.4433","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142071.3","141890","2600.9926225287486","137837","147660","141350.34162768713","142792.25837231285","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16054.6814","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143536.5","143069.5","3662.615599624433","136354","151916","142521.27475166938","144551.72524833062","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2230.9677","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3397.4433","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
