"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","JVM","InstrumentPropertyAccessors","TestKIR","Native","Reference","Common","FlushEarly","Methods","Enabled","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"203242.58","187572.5","38904.67865683289","181512","348873","192458.753257533","214026.40674246696","commonmain-plain-jar","3094.0417","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8420.9894","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221893.44","221183.5","2366.9284337749305","218408","230025","221237.36091072665","222549.51908927335","commonmain-plain-win-exe","98478.2643","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204066.22","188125","29594.33611509928","184002","310593","195863.08854533336","212269.35145466664","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3364.4184","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5371.3561","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"257382.88","252058.5","20176.228719268744","229071","335620","251790.31472670304","262975.44527329697","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25200.4698","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226361.46","222980","10413.046156311291","210681","261414","223475.110864425","229247.809135575","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3364.4184","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5371.3561","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"281534.2","288027.5","23676.152915918567","232659","329774","274971.50523453177","288096.89476546826","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25200.4698","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229420.18","224273.5","12682.840005282407","214599","270166","225904.67610840383","232935.68389159616","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3592.2086","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
