"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Reference","TestKIR","FlushEarly","CILabel","Common","InstrumentPropertyAccessors","Dedicated","Methods","Enabled","JVM","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"160605.14","147895.5","27617.185434930667","137978","252530","152950.0467534563","168260.23324654374","commonmain-plain-jar","1921.1981","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5815.2818","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142856.16","142485.5","2997.2908267981206","137645","152897","142025.35336982366","143686.96663017635","commonmain-plain-linux-exe","15816.6625","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144730.1","144679.5","3889.339287313044","134944","154344","143652.03015171742","145808.1698482826","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2230.5157","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3941.8131","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143553.32","142925","4858.1982233275385","137209","164349","142206.69615603916","144899.94384396085","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19998.4347","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144444.44","144763.5","3891.1504681410465","136703","151918","143365.86811800522","145523.01188199478","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2230.5157","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3941.8131","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143449.76","142682","5253.2915806207075","137579","175443","141993.62186471882","144905.8981352812","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19998.4347","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143410.9","143324","4079.3130286500796","135402","151768","142280.17211718467","144541.62788281532","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2286.8541","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
