"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Enabled","JVM","Native","InstrumentPropertyAccessors","Reference","CILabel","FlushEarly","Dedicated","TestKIR","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"203458.64","185799.5","38635.98946354214","180974","317611","192749.29010217113","214167.9898978289","commonmain-plain-jar","2644.7638","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8669.2943","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221996.98","219105.5","9750.59201026339","215787","276128","219294.25378543208","224699.70621456794","commonmain-plain-win-exe","98558.1789","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186585.64","185509.5","6167.2565652179965","180699","224563","184876.16369607553","188295.1163039245","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4133.807","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5404.1326","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219680.74","217824","11272.56572357176","215501","296320","216556.1441955126","222805.33580448737","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22753.5524","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185362.9","185282","2210.884200716897","181589","192739","184750.0741653879","185975.7258346121","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4133.807","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5404.1326","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219295.22","217560","5705.209031531569","214942","250049","217713.81673824118","220876.62326175882","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22753.5524","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186622.44","185611","5576.11222605419","182014","222975","185076.82054706156","188168.05945293844","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3754.2399","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
