"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Methods","InstrumentPropertyAccessors","TestKIR","JVM","Reference","CILabel","Dedicated","JS","Native","Common","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"187918.88","186406.5","4949.794663397252","181934","207762","186546.86691818808","189290.89308181193","commonmain-plain-jar","2721.5362","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7722.0478","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227253.8","222492.5","13276.725253969358","218830","279236","223573.6795160593","230933.9204839407","commonmain-plain-win-exe","94707.6862","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210371.84","197855.5","29059.808407981145","188066","322954","202316.872066576","218426.807933424","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3163.2221","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5256.2583","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235097.8","237783","9046.364388695672","218554","252220","232590.27572310215","237605.32427689782","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21363.0922","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205751.58","202766.5","13049.129865572319","184055","243669","202134.5457391202","209368.61426087978","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3163.2221","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5256.2583","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234423.8","232038.5","10082.514267740149","221565","272694","231629.06962962935","237218.53037037063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21363.0922","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218972.92","212288","26960.332507820538","190219","318640","211499.897095785","226445.94290421502","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3654.5063","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
