"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Reference","Enabled","JVM","JS","Native","Methods","FlushEarly","CILabel","TestKIR","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"159474.52","158502.5","6209.034632776693","150242","186423","157753.46340656426","161195.57659343572","commonmain-plain-jar","2087.3255","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6478.8671","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136451.66","135552.5","3829.007334513098","130757","149943","135390.3133158327","137513.0066841673","commonmain-plain-linux-exe","17061.0949","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158750.8","158395","4771.684779263302","147622","169354","157428.15645928012","160073.44354071986","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2673.228","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4381.2665","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137847.26","136532.5","6440.9671121023175","131984","176497","136061.9150032321","139632.6049967679","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","39196.5623","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159901.28","158895.5","5012.4835265239","146129","168809","158511.89045186117","161290.66954813883","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2673.228","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4381.2665","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136724.66","136657","2846.2159598674316","132471","147225","135935.7291864701","137513.5908135299","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","39196.5623","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160175.78","161017","4626.6054214858705","149702","167651","158893.3504055764","161458.2095944236","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2187.6063","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
