"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JS","Dedicated","Methods","Enabled","FlushEarly","CILabel","TestKIR","Common","Reference","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"187732.76","187134","4978.742426085741","183067","210530","186352.7230077436","189112.79699225642","commonmain-plain-jar","3596.1971","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","11737.0607","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222774.86","221308","5213.497815267206","218000","244397","221329.75213372032","224219.96786627965","commonmain-plain-win-exe","97919.6094","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187943.94","187428.5","3698.631745962944","183045","208825","186918.73158523656","188969.14841476345","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3428.1583","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4726.6787","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223525.46","220381","11611.418008660128","217241","292078","220306.93913405883","226743.98086594115","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25799.0798","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186805.96","186710","1792.387564685946","181934","190050","186309.13551461048","187302.7844853895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3428.1583","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4726.6787","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220843.78","219986.5","2899.321745385514","217190","231955","220040.12901373455","221647.43098626545","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25799.0798","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186741.12","186451.5","2550.1627130160036","181948","196852","186034.25095977893","187447.98904022106","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3418.3515","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
