"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","JS","Enabled","Dedicated","JVM","FlushEarly","TestKIR","InstrumentPropertyAccessors","Methods","Native","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155594.04","155585","4302.473578806328","143650","168535","154401.45516856766","156786.62483143236","commonmain-plain-jar","1880.3464","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6055.0836","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132548.94","130502","15198.006842211853","124512","235903","128336.26743013016","136761.61256986985","commonmain-plain-linux-exe","17150.7586","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155424.76","155425","4687.887673481914","146970","164905","154125.34383196293","156724.17616803708","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2365.8447","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3307.6323","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144634.92","146151.5","8261.197518668161","126534","165143","142345.0328758207","146924.80712417932","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18332.4176","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153899.64","153548.5","4373.39502810308","144655","164187","152687.39674577775","155111.88325422228","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2365.8447","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3307.6323","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131483.16","131015","3834.235455067667","124363","144935","130420.36415474987","132545.95584525014","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18332.4176","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154035.3","154247.5","3909.56905214237","146625","162546","152951.62274699152","155118.97725300846","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1722.8996","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
