"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","CILabel","InstrumentPropertyAccessors","Common","FlushEarly","Methods","Native","TestKIR","Dedicated","Enabled","Reference","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"195274.64","179697","41877.00155667737","175562","337762","183666.92738361744","206882.3526163826","commonmain-plain-jar","2533.5939","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7657.3344","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229907.92","229180","4941.94987478606","223537","255173","228538.08138265187","231277.75861734815","commonmain-plain-win-exe","91287.0202","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181206.34","180183.5","4864.97013271869","174203","201411","179857.83907852275","182554.84092147724","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4125.6862","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4618.8811","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226121.9","225132","4999.203619230829","221280","256164","224736.19145436134","227507.60854563865","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25747.9726","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181759.56","180854","4840.821245724865","176246","203596","180417.7528084893","183101.36719151068","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4125.6862","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4618.8811","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225322.54","224800.5","4351.07371787325","220837","251149","224116.4838973105","226528.5961026895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25747.9726","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179443.64","179421","2381.7002052641096","174078","183460","178783.46638456892","180103.8136154311","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2277.9409","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
