"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Dedicated","TestKIR","JVM","JS","FlushEarly","CILabel","Reference","InstrumentPropertyAccessors","Common","Native","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"113131.62","113162.5","3551.9895367215804","105346","122246","112147.05873185715","114116.18126814284","commonmain-plain-jar","1640.498","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5016.5452","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110701.44","110632","2585.2090363513457","106630","117234","109984.8566145676","111418.0233854324","commonmain-plain-linux-exe","13157.1021","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111777.18","111703","3614.043745090611","104947","118856","110775.4181828539","112778.94181714609","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1729.6539","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2995.3926","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112353.12","111349.5","5205.068835005246","106710","137383","110910.34852784821","113795.89147215178","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","12864.3887","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111657.6","112022.5","4369.238615781091","103793","121801","110446.50884449435","112868.69115550566","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1729.6539","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2995.3926","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111734.44","111253","2905.0452745778225","107046","121870","110929.2025323833","112539.67746761671","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","12864.3887","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112573","112525","5283.143030972594","103943","128433","111108.58746483376","114037.41253516624","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1683.3708","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
