"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","InstrumentPropertyAccessors","CILabel","JVM","Common","Methods","Reference","Dedicated","TestKIR","Native","JS","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"207667.82","204912.5","14508.41317177234","186706","259495","203646.29304349757","211689.34695650244","commonmain-plain-jar","3544.5571","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","10002.2799","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238326.18","237949.5","7549.638947144751","225737","258349","236233.52684914583","240418.83315085416","commonmain-plain-win-exe","115198.1329","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202233.34","199015","11918.499925488844","187741","239231","198929.70036939727","205536.97963060273","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4792.2499","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5470.5566","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233429.46","229346.5","12646.231992194678","219000","270679","229924.10333192945","236934.81666807053","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28634.6307","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208554.8","206753","12725.724121171388","186124","240288","205027.4092379369","212082.19076206308","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4792.2499","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5470.5566","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248111.98","249146.5","10856.411720664035","224318","266685","245102.73619996244","251121.22380003758","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28634.6307","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198325.7","197049","10969.229348500288","183433","230683","195285.1847489677","201366.21525103232","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3564.5221","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
