"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Dedicated","Methods","CILabel","TestKIR","Reference","JVM","JS","Native","InstrumentPropertyAccessors","Common","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"145259.58","144172","5311.106391865473","136640","160200","143787.4164166458","146731.74358335417","commonmain-plain-jar","1743.5787","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5862.585","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"119545.32","119349","3189.9528461744267","113046","130367","118661.11018263546","120429.52981736456","commonmain-plain-linux-exe","14140.8243","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143552.94","143874","5317.620184339791","132696","156228","142078.97088548852","145026.90911451148","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2267.6667","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3487.3169","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120163.02","119933","2579.990772725155","114288","127467","119447.88304344927","120878.15695655074","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16047.5978","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143820.96","143758.5","5104.322473819095","132477","154861","142406.11399443666","145235.80600556333","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2267.6667","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3487.3169","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"119824.28","119653","2922.29782415503","114939","129451","119014.26036962216","120634.29963037783","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16047.5978","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143592.28","142696","5142.4306372352285","135612","155948","142166.87095045476","145017.68904954524","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1589.6133","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
