"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","Common","JVM","Reference","TestKIR","Dedicated","FlushEarly","InstrumentPropertyAccessors","Native","Enabled","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"183841.14","182243.5","6716.679074983897","174989","207271","181979.37154617786","185702.90845382217","commonmain-plain-jar","2689.104","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7546.7586","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241178.02","244797.5","11951.08101760622","225479","280604","237865.34935141678","244490.6906485832","commonmain-plain-win-exe","86725.2724","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186210.5","185150.5","5310.048465323234","176975","208801","184738.62965892235","187682.37034107765","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3220.9019","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4435.3128","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227328.68","227164","2573.4959819241203","223224","235866","226615.34330761145","228042.01669238854","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26360.5556","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183092.32","183179","3397.589712530617","175989","194878","182150.55617963534","184034.08382036467","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3220.9019","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4435.3128","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226423.02","225711","3452.573447119569","220801","241390","225466.01546597487","227380.0245340251","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26360.5556","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182402.32","182116","3607.0196269756775","174784","198310","181402.5051690619","183402.13483093813","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2418.5017","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
