"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Reference","Common","Methods","Native","FlushEarly","JS","InstrumentPropertyAccessors","CILabel","TestKIR","JVM","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"164851.72","148448.5","29693.888759040732","135914","235197","156620.99396028387","173082.44603971613","commonmain-plain-jar","1837.1251","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5898.6435","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143945.6","143030.5","5622.546902736285","137770","173095","142387.109511354","145504.090488646","commonmain-plain-linux-exe","16467.0194","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143636.26","143665","3847.002967113437","136996","152665","142569.92518096606","144702.59481903395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3134.1537","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4780.4797","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144778.78","143759","8265.935544147438","138096","197810","142487.5795621619","147069.9804378381","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19445.5526","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143580.02","142955","4525.719942682252","135626","152986","142325.55443360104","144834.48556639894","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3134.1537","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4780.4797","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144068.5","143437","4168.812199303445","137146","159713","142912.9642127567","145224.0357872433","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19445.5526","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143266.14","143820","4309.336929960149","134907","151607","142071.65274468777","144460.62725531225","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2284.7423","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
