"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","JVM","FlushEarly","InstrumentPropertyAccessors","Native","Enabled","CILabel","TestKIR","Methods","Reference","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"159077.02","157269.5","5735.443574789298","152330","177329","157487.23615042024","160666.80384957974","commonmain-plain-jar","2279.4622","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6071.6151","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182007.16","177599","11570.649173681146","173896","240667","178799.93967857133","185214.38032142867","commonmain-plain-win-exe","117615.7048","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"149337.78","141445","13739.610201953787","135733","185673","145529.35435449274","153146.20564550726","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2557.1677","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3415.2604","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193597.6","192426","14603.156041327056","174228","230133","189549.81165988932","197645.3883401107","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21609.3866","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"136269.26","136233.5","1291.05770291064","133543","139069","135911.39706260056","136627.12293739946","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2557.1677","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3415.2604","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199668.56","200468.5","13875.623895750654","175426","241145","195822.43328204728","203514.68671795272","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21609.3866","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"146858.82","142212","9300.70443171497","136068","165240","144280.79625999686","149436.84374000315","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2114.3298","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3166.4606","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
