"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","TestKIR","Methods","JS","Native","Reference","Common","Enabled","FlushEarly","CILabel","Dedicated","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156901.04","155419","10612.323069768603","144486","215958","153959.45412214388","159842.62587785613","commonmain-plain-jar","1952.9253","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6477.6543","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133627.2","133171","4730.825897607032","124023","151801","132315.88196345815","134938.51803654188","commonmain-plain-linux-exe","16932.0089","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153486.68","153076.5","6403.234219278472","142793","179048","151711.79402751278","155261.5659724872","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2602.6073","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3430.3784","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134956.14","135246.5","5269.3912013686395","125901","159453","133495.53927752472","136416.7407224753","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20477.8223","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153938.94","153939","5096.0066174707945","142292","163462","152526.39903221544","155351.48096778456","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2602.6073","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3430.3784","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134148.78","134220","4021.2753043109624","124601","146995","133034.13935361506","135263.42064638494","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20477.8223","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153727.6","153856.5","4986.83413129625","144240","164848","152345.3201014903","155109.8798985097","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2415.0396","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
