"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Enabled","Dedicated","InstrumentPropertyAccessors","Common","TestKIR","FlushEarly","JS","JVM","CILabel","Native","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155028.8","154094.5","8059.443587418148","144994","191400","152794.8362124045","157262.76378759547","commonmain-plain-jar","1988.0467","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6033.686","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136641.78","135877","3638.590662857905","130490","143532","135633.2141243858","137650.3458756142","commonmain-plain-linux-exe","16217.526","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153133.32","153273","4464.6346032355395","143868","163376","151895.78642584058","154370.85357415944","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2678.7746","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4425.1415","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136626.54","136171.5","4053.2977514158333","127813","149625","135503.02318413183","137750.05681586819","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19616.5531","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152665.48","152103.5","5034.462726902586","141645","164074","151269.9981283411","154060.96187165892","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2678.7746","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4425.1415","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135842.6","135855","2668.506346713266","130211","141350","135102.92777810709","136582.27222189293","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19616.5531","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152235.64","151542","5247.544334374364","142119","165891","150781.09492010204","153690.185079898","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3018.2215","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
