"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","CILabel","Common","JVM","JS","Enabled","Dedicated","Native","FlushEarly","TestKIR","Methods","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"99344.8","98057.5","4439.725428171321","94703","118959","98114.17089690841","100575.42910309159","commonmain-plain-jar","1571.3807","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4749.0657","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"136665.22","133783","6799.223996208115","131518","162769","134780.57126134617","138549.86873865384","commonmain-plain-win-exe","78776.8659","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"114908.22","106755.5","19083.19979617717","102835","183195","109618.62688681507","120197.81311318494","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1868.4779","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3848.4869","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"138198.24","137005","4790.740024468121","132861","157634","136870.31461478432","139526.16538521566","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","15192.87","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"135513.76","146821.5","28673.72193586857","95761","183325","127565.80977669764","143461.7102233024","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1868.4779","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3848.4869","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"133310.64","133179","1294.2430576382853","130896","137152","132951.89412731663","133669.3858726834","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","15192.87","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"97441.78","97479.5","1320.6501072253338","94523","100561","97075.71446661364","97807.84553338635","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2383.6034","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
