"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Enabled","TestKIR","CILabel","Reference","Methods","JS","FlushEarly","Common","JVM","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155831.16","154120","8059.5521634839215","146040","196013","153597.16611665452","158065.15388334548","commonmain-plain-jar","1937.8424","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6468.7392","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135868.36","135993.5","3052.785043336056","130150","146189","135022.17115778604","136714.54884221393","commonmain-plain-linux-exe","17928.1667","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155430.34","155313","5572.133605976903","141505","167226","153885.82336428223","156974.85663571776","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2140.7547","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3813.4965","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136030.16","135747.5","2942.291120046084","129482","141570","135214.59851074187","136845.72148925814","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18130.7754","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154299.82","152674.5","5864.793921566978","143642","167121","152674.18206353695","155925.45793646306","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2140.7547","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3813.4965","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137062.92","136489","4176.3665872406855","130072","149628","135905.29024325297","138220.54975674706","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18130.7754","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153891.7","154451.5","5400.0579220249565","143128","168225","152394.88031041814","155388.51968958188","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1807.923","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3332.9175","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139199.6","136852.5","9110.780084883074","131284","178182","136674.2206030713","141724.9793969287","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15088.407","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155670.66","154256.5","6483.144886298214","144315","170206","153873.6239206936","157467.69607930642","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1807.923","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
