"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Native","InstrumentPropertyAccessors","CILabel","Methods","TestKIR","JS","FlushEarly","Common","JVM","Reference","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"214189.04","206233.5","23884.25281752453","188185","266079","207568.66288470858","220809.41711529144","commonmain-plain-jar","2939.3672","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7809.7975","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259045.16","254761.5","12781.30701751266","243190","296548","255502.3624451119","262587.9575548881","commonmain-plain-win-exe","94291.3034","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"213203.28","204658.5","21134.250191205974","191618","265764","207345.16472280602","219061.39527719398","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3362.6088","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4944.171","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"266156.04","263480","11537.26277437148","251268","311216","262958.073916317","269354.00608368294","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21184.422","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219483.44","210336","21352.313070857646","199404","275506","213564.88077636273","225401.99922363728","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3362.6088","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4944.171","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239908.74","239106","5577.304988165915","232984","261531","238362.78993027195","241454.69006972804","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21184.422","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188603.74","188346.5","4152.950157737637","182805","205791","187452.60094636132","189754.87905363867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2266.9882","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
