"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Methods","FlushEarly","Reference","TestKIR","Enabled","JVM","Native","JS","Dedicated","InstrumentPropertyAccessors","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"209540.12","177212","47673.73281114634","172014","358139","196325.63545594702","222754.60454405297","commonmain-plain-jar","2665.8894","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7538.8982","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227582.64","226668.5","3087.5740081025106","223290","241958","226726.80814873052","228438.4718512695","commonmain-plain-win-exe","92234.7377","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"175383.74","175298.5","1767.639551515419","171870","179808","174893.7753138805","175873.70468611948","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3179.3343","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4800.0875","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227994.5","226685.5","5830.7287612917735","223341","262733","226378.3044442234","229610.6955557766","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21132.8918","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"175496.48","175444.5","2422.8472476213033","171173","184623","174824.9010063197","176168.05899368032","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3179.3343","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4800.0875","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227738.24","226981.5","3304.947228946697","223758","241622","226822.15536595564","228654.32463404434","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21132.8918","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176266.46","175437.5","3200.004784498974","172524","191071","175379.46392748415","177153.45607251584","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2166.9968","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
