"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Native","InstrumentPropertyAccessors","Enabled","Reference","TestKIR","Dedicated","JS","JVM","Common","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"178249.22","176575","8330.66879812669","173450","230704","175940.07641960197","180558.36358039803","commonmain-plain-jar","2991.1327","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7067.0124","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228478.54","227206.5","4519.306697822089","223246","246299","227225.85209438164","229731.22790561838","commonmain-plain-win-exe","86112.7483","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176953.78","177054.5","2011.185448882305","172874","186062","176396.30783530168","177511.25216469832","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3066.8215","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4267.2754","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230497.32","227824.5","10105.179848625221","224608","290012","227696.30705113956","233298.33294886045","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24902.7981","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177096.1","176865","2205.7750199817547","173502","184840","176484.69035803483","177707.50964196518","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3066.8215","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4267.2754","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232979.96","231302.5","5327.371132372966","228728","254237","231503.28806058943","234456.63193941055","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24902.7981","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177004.96","176695","2224.625664085111","174351","187949","176388.3252260709","177621.59477392907","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2923.8836","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
