"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","JVM","Common","Enabled","CILabel","Reference","Native","TestKIR","FlushEarly","InstrumentPropertyAccessors","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"142884.46","141989.5","6648.481604187869","131978","173281","141041.59492064922","144727.32507935076","commonmain-plain-jar","1983.9908","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5848.4616","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"119848.88","118882","3529.5592003211154","113689","129242","118870.5361039026","120827.2238960974","commonmain-plain-linux-exe","14140.8303","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141388.4","140867.5","5074.1371559656345","128166","152527","139981.92093767165","142794.87906232834","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2424.4708","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3614.2946","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120437.32","119997.5","3470.28404671692","114323","128970","119475.40633822582","121399.2336617742","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34266.5679","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140718.7","140207","5120.357518010329","131853","153824","139299.40930695084","142137.99069304919","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2424.4708","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3614.2946","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120374.64","120028.5","2975.703365729912","115111","128706","119549.81710874675","121199.46289125325","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34266.5679","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140664.58","140573","5105.592768119834","132068","152184","139249.3818868207","142079.7781131793","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2286.7379","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
