"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","TestKIR","Native","JS","FlushEarly","JVM","Reference","InstrumentPropertyAccessors","Dedicated","CILabel","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"218929.3","217238","6216.110632699452","210651","242484","217206.28203945287","220652.3179605471","commonmain-plain-jar","3882.8332","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","10472.4845","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255134.84","256864.5","13597.682253522291","232008","287659","251365.75477468484","258903.92522531515","commonmain-plain-win-exe","110606.7382","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215653.22","217390.5","9588.090063879315","198593","239208","212995.5370269038","218310.9029730962","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3299.9189","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4180.9474","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249762.12","247962.5","12360.638309321956","228079","283658","246335.9258620202","253188.3141379798","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","63136.1885","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220088.72","219438","3953.8195897854803","214873","237295","218992.777123738","221184.662876262","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3299.9189","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4180.9474","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247474.96","247106.5","10564.7289117118","229196","271544","244546.56654969134","250403.35345030864","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","63136.1885","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218537.18","217793.5","3734.8294264249603","212346","230073","217501.93810011193","219572.42189988805","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2941.9269","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
