"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","InstrumentPropertyAccessors","Enabled","Methods","FlushEarly","Dedicated","Native","JS","CILabel","Common","TestKIR","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"147740.54","147721.5","5949.425440308999","134366","161163","146091.44340338156","149389.63659661845","commonmain-plain-jar","1831.7398","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6298.304","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123863.28","123596.5","3210.7385191521507","118350","136911","122973.30868803234","124753.25131196766","commonmain-plain-linux-exe","16070.7652","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143408.48","142810","4835.960366137955","132269","157050","142068.02017556937","144748.93982443065","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2808.2597","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3675.3162","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124687.84","123875","3473.915854138187","118992","139352","123724.91965256883","125650.76034743116","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15359.4151","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144462.94","144486","5253.376979639294","134689","155315","143006.77819331855","145919.10180668146","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2808.2597","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3675.3162","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125010.66","124339","3812.7661639308963","119745","134760","123953.8151386391","126067.50486136091","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15359.4151","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145775.76","145495","5302.849605752033","135520","158085","144305.88508099085","147245.63491900917","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1661.564","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
