"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","FlushEarly","Dedicated","Common","Enabled","JVM","CILabel","Native","InstrumentPropertyAccessors","Reference","JS","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"228551","190453","81907.03790647202","179482","545626","205847.52740321658","251254.47259678342","commonmain-plain-jar","2519.0985","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7371.5268","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231388.62","230685.5","3103.6412117093055","225614","241801","230528.33454710947","232248.90545289053","commonmain-plain-win-exe","94501.5578","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193019.98","185422","23120.63093596589","175560","269468","186611.2680713079","199428.69192869213","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2761.6742","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4701.6754","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224387.16","223394","3617.0547515787434","220736","240032","223384.56357443638","225389.75642556362","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22244.7434","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180035.76","179552.5","3197.9650389277367","176049","195304","179149.32931611087","180922.19068388914","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2761.6742","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4701.6754","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226005.18","225842","3597.7580359588","219787","235732","225007.9323511164","227002.42764888357","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22244.7434","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178536.48","178476","2004.1178041874743","174119","183701","177980.96688646206","179091.99311353796","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4534.8598","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
