"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JVM","TestKIR","FlushEarly","Native","Methods","CILabel","Reference","JS","Dedicated","Common","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"189942.06","189095.5","4697.878950013463","184586","210027","188639.87439140276","191244.24560859724","commonmain-plain-jar","2882.5275","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8429.7911","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240498.04","239151","25508.06811216196","218101","407814","233427.5642486654","247568.5157513346","commonmain-plain-win-exe","90528.0678","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189034.3","188753.5","2751.959259383416","183742","197320","188271.49581088722","189797.10418911275","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3399.7434","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5662.4193","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221029.22","220139","3195.565666701919","217575","232990","220143.4543881605","221914.9856118395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24273.3495","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188558.68","188342","3003.6067396599396","184092","197815","187726.12268809657","189391.23731190342","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3399.7434","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5662.4193","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219881.6","219434.5","2293.0300691354187","217472","229634","219246.00449235068","220517.19550764933","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24273.3495","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188469.1","187834.5","3157.8167041066044","184645","201706","187593.79786675458","189344.40213324543","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3338.8701","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
