"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Methods","TestKIR","InstrumentPropertyAccessors","FlushEarly","Common","Native","Dedicated","JVM","Enabled","JS","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"154202.12","153435","5624.0789491366895","144139","167236","152643.20484975766","155761.03515024233","commonmain-plain-jar","2039.2373","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6314.6423","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136233.36","136157.5","2588.6956274209933","131879","144159","135515.81018082966","136950.9098191703","commonmain-plain-linux-exe","17526.4539","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154665.56","153872.5","5791.4926036350225","143961","169070","153060.24015225694","156270.87984774305","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2103.7067","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4016.9923","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137188.86","136976.5","2710.812379252796","131576","141748","136437.4611441695","137940.25885583047","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15545.9273","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153189.08","152625","4904.291801585836","143793","165282","151829.67966799097","154548.480332009","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2103.7067","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4016.9923","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137660.48","137532","3121.1134868106","131263","146656","136795.3514795404","138525.60852045962","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15545.9273","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152504.58","151924","5138.681451977536","142843","170125","151080.21017158806","153928.94982841192","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1791.7291","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
