"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JVM","CILabel","InstrumentPropertyAccessors","Native","Dedicated","TestKIR","Common","Reference","Methods","FlushEarly","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"204249.86","186660.5","60387.21043940901","182013","471616","187511.37924853107","220988.3407514689","commonmain-plain-jar","2867.0078","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7347.9127","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233166.82","223808.5","14969.11557608545","218263","272769","229017.59285217166","237316.04714782836","commonmain-plain-win-exe","113580.1156","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217902.98","220769","12443.650032946482","184012","237002","214453.7761861646","221352.1838138354","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3367.1243","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4299.714","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228656.26","220383.5","16556.64721655533","216515","286909","224066.99153194847","233245.52846805155","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25413.2916","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215934.94","215031.5","4786.941336978495","208665","231228","214608.0675572363","217261.8124427637","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3367.1243","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4299.714","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235226.14","234279","5833.894911390062","228220","264374","233609.06683219117","236843.21316780886","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25413.2916","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193109.88","190387","8076.571869857879","182580","210681","190871.16849473654","195348.59150526347","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4376.8756","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
