"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","Native","Common","Dedicated","Enabled","CILabel","JS","InstrumentPropertyAccessors","FlushEarly","JVM","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"111167.98","110343.5","4688.704992830741","102305","120657","109868.33728259777","112467.62271740222","commonmain-plain-jar","1539.0433","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4594.0216","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112007.04","111036.5","3237.039532835961","107236","123270","111109.7784189822","112904.30158101779","commonmain-plain-linux-exe","13132.0696","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111433.16","111739.5","4504.812136154051","102142","124382","110184.48978189718","112681.83021810283","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1868.3562","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2994.1512","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112487.76","112720","2828.243910042745","107112","122624","111703.8107845248","113271.70921547519","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14041.8965","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109742.24","109535","3503.781389136192","102089","117735","108771.04134861907","110713.43865138094","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1868.3562","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2994.1512","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111635.6","111157","2350.894784058675","106836","119019","110983.96521168372","112287.23478831629","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14041.8965","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109922.56","109172.5","3890.446593953984","101439","122122","108844.18322197584","111000.93677802416","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1589.1546","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
