"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JVM","JS","CILabel","Dedicated","Native","Enabled","Common","InstrumentPropertyAccessors","Methods","Reference","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"219401.96","218553.5","7459.548820847828","208310","239218","217334.27855812106","221469.64144187892","commonmain-plain-jar","2599.1865","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7866.4404","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246208.94","242168.5","20208.979931047223","221732","295936","240607.29655395832","251810.58344604168","commonmain-plain-win-exe","110067.9796","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248808.92","248015","13703.894822261","217833","277057","245010.39415266472","252607.4458473353","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3881.7724","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","26692.8627","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"270567.14","274423","38610.829547780435","226403","485520","259864.76407501442","281269.51592498564","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","40924.2038","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212125.92","215434","15707.142287845118","186318","259874","207772.1222846795","216479.71771532053","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3881.7724","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","26692.8627","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235367.22","234748.5","4715.462447466779","228755","249810","234060.16049457056","236674.27950542944","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","40924.2038","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196719.76","197861.5","8645.923183577712","184739","223298","194323.2323622115","199116.2876377885","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2545.7885","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
