"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Enabled","JS","Native","JVM","InstrumentPropertyAccessors","Reference","Methods","TestKIR","FlushEarly","Dedicated","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"112038.64","111010","5051.498968320075","103847","133922","110638.43592314285","113438.84407685715","commonmain-plain-jar","1493.8726","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4895.4204","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109964.36","110206","2772.704476256541","103807","118973","109195.80553014418","110732.91446985582","commonmain-plain-linux-exe","13148.6279","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110665.42","110534.5","4317.230187686242","102739","120062","109468.74484527076","111862.09515472924","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2118.1517","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2796.8076","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109710.24","109718.5","3140.935013264525","103647","123098","108839.61723271893","110580.86276728108","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14757.5857","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109519.78","109444","4667.938242994241","96936","120359","108225.89353197375","110813.66646802625","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2118.1517","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2796.8076","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109973.88","109816","2786.906936196544","104173","115882","109201.38880909681","110746.3711909032","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14757.5857","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109320.52","108809.5","4402.963136019067","101287","119566","108100.08088440896","110540.95911559105","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1760.7912","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
