"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","CILabel","JVM","InstrumentPropertyAccessors","Native","Dedicated","FlushEarly","Common","Reference","JS","TestKIR","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"187007.52","199807.5","30157.855963850063","133663","257393","178648.18881243045","195366.85118756953","commonmain-plain-jar","3030.3507","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6323.1594","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177888.92","176124.5","4898.986450110609","173079","198389","176530.99023639283","179246.8497636072","commonmain-plain-win-exe","97800.0714","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"138422.26","137500.5","3259.1608085392727","134778","153559","137518.86671419136","139325.65328580866","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3140.2153","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4799.0078","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177916","176754.5","4501.198688422125","173207","194791","176668.3313785079","179163.6686214921","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24881.7161","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"159191.58","157935","8655.83098992364","137213","175885","156792.30605840636","161590.8539415936","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3140.2153","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4799.0078","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201335.04","199762","10352.853099725206","184181","237493","198465.37552847402","204204.704471526","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24881.7161","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142601.38","137947.5","9455.110584164288","135163","173392","139980.55705811494","145222.20294188507","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1880.8893","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
