"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Enabled","TestKIR","JS","Common","InstrumentPropertyAccessors","FlushEarly","JVM","CILabel","Native","Reference","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144734.72","143691","5763.523631832691","135432","163016","143137.15275570966","146332.28724429035","commonmain-plain-jar","1943.1029","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6116.4245","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145252.54","144167","5496.71722145619","138624","167679","143728.92771954983","146776.1522804502","commonmain-plain-linux-exe","15731.8547","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143317.54","143974.5","3900.016897974904","136944","151885","142236.51046904235","144398.56953095767","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3017.5024","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4308.2463","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144027.9","144267.5","3101.5270054129987","139283","156507","143168.20057519618","144887.5994248038","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21457.6771","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142267.42","141965.5","4616.114843520622","134200","156367","140987.898245433","143546.94175456703","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3017.5024","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4308.2463","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144795.16","144604.5","3814.771313979278","138203","157066","143737.75933940205","145852.56066059796","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21457.6771","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144121.44","144795.5","5280.80349544944","134546","155306","142657.6759509956","145585.20404900442","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2598.8817","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
