"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","Common","Reference","Enabled","CILabel","Methods","JS","JVM","FlushEarly","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"170088.82","154877.5","32143.56714497745","144349","261514","161179.07775450245","178998.56224549757","commonmain-plain-jar","1986.7128","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6283.8445","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137355.62","137359","3379.5367022775204","130467","152489","136418.8602187759","138292.3797812241","commonmain-plain-linux-exe","17119.9636","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154608.24","154037.5","5417.997606466199","144357","167645","153106.44768358997","156110.03231641","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2122.2151","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4255.9626","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137229.54","136853.5","3462.753076052967","130974","144805","136269.71381679256","138189.36618320746","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19200.1017","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155510.92","154575","6653.287479072559","145065","176889","153666.7228000948","157355.11719990522","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2122.2151","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4255.9626","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137862.04","136908.5","4829.505099756229","131140","164143","136523.36948412145","139200.71051587857","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19200.1017","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154644.06","154235.5","5258.9192356356625","142119","164732","153186.3619583337","156101.7580416663","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2433.2191","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
