"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","Common","JS","FlushEarly","Native","Reference","CILabel","JVM","Enabled","Dedicated","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"154294.12","154124.5","4967.7378567993655","145422","172799","152917.13331872562","155671.10668127437","commonmain-plain-jar","1990.2768","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6295.4796","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138900.98","137675.5","12692.791435620586","131256","224886","135382.71771264498","142419.24228735504","commonmain-plain-linux-exe","17271.7413","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153414.98","152396.5","5015.663931431334","142917","167636","152024.7088885974","154805.2511114026","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2232.6623","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4210.8539","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136257.12","136160.5","3105.513632892574","129397","145324","135396.31553843684","137117.92446156315","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36774.3236","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153418.14","153998.5","4704.821929485033","145278","164661","152114.0298956793","154722.25010432073","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2232.6623","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4210.8539","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137933.84","137204.5","3921.7543417117154","132271","148837","136846.7851570445","139020.8948429555","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36774.3236","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154389.24","152691.5","5597.9504287238","144296","169216","152837.56730611247","155940.9126938875","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2138.428","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
