"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JVM","InstrumentPropertyAccessors","Native","JS","TestKIR","Reference","Dedicated","CILabel","Enabled","Methods","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144613.08","144088","5099.185580590898","136649","157351","143199.65786859472","146026.50213140526","commonmain-plain-jar","1920.7948","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6257.0016","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144967.86","143452","9929.173683707244","137013","208429","142215.63347101526","147720.0865289847","commonmain-plain-linux-exe","17302.7397","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143882.52","144518","5336.181843121273","134065","158618","142403.4058561691","145361.6341438309","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2081.4364","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4093.7089","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144619.92","144857","2811.8883468413255","137707","155249","143840.50431534756","145399.33568465247","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18073.1743","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144375.96","144668.5","5757.647850804838","133681","167550","142780.0214391166","145971.8985608834","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2081.4364","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4093.7089","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143881.64","143765.5","2712.761600363762","138222","151248","143129.70084764302","144633.579152357","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18073.1743","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142444.16","142376.5","4407.393668991845","133835","152597","141222.4928033245","143665.8271966755","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2083.8238","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4590.8724","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143297.3","142840","3155.929290030667","137742","151998","142422.52103124504","144172.07896875494","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19632.0638","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143846","143916","4463.812400051905","134850","156679","142608.69432893564","145083.30567106436","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2083.8238","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
