"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","TestKIR","Methods","CILabel","Common","Native","JS","JVM","Dedicated","FlushEarly","Reference","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155756.26","154676.5","6581.132781377569","143598","176018","153932.06306190035","157580.45693809967","commonmain-plain-jar","1941.9576","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6444.406","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133653.52","134358","3861.4995672348723","124230","142581","132583.16692842005","134723.87307157993","commonmain-plain-linux-exe","16382.432","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152883.5","151631","5628.67376357297","142870","173063","151323.31123217478","154443.68876782522","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3054.0025","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4685.8093","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133305.52","133179.5","3363.57251912733","124947","139899","132373.18526458324","134237.85473541674","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20727.3407","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155400.8","155492.5","5324.155596554869","144939","172159","153925.0193616448","156876.58063835517","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3054.0025","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4685.8093","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137307.08","135220.5","12895.479973563273","129403","222497","133732.6353163029","140881.52468369706","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20727.3407","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153404.52","152512.5","4798.753584940531","142355","165342","152074.37336914733","154734.66663085265","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2139.4048","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
