"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Native","CILabel","InstrumentPropertyAccessors","Enabled","Methods","FlushEarly","JVM","Common","TestKIR","Dedicated","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"217680.24","220977.5","16562.995030796937","182171","247634","213089.21200761004","222271.26799238994","commonmain-plain-jar","4005.9553","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","10798.837","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"261340.76","257025.5","41720.03868624813","227762","530197","249776.55527156685","272904.9647284332","commonmain-plain-win-exe","101618.7229","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220623.64","217924","7822.817219870997","209674","243736","218455.26569517178","222792.01430482825","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","21142.215","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","12756.2724","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251547.9","250554.5","12788.848751062427","227616","277439","248003.0119832254","255092.78801677458","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","53040.551","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221271.4","219608.5","6895.07154067457","209100","237233","219360.18367747447","223182.61632252551","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","21142.215","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","12756.2724","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"268157.42","261914","40658.793088229126","233339","529233","256887.37754344134","279427.4624565586","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","53040.551","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233536.3","230948.5","14579.555088603789","211869","269820","229495.05351022483","237577.54648977515","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2895.1947","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
