"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Native","TestKIR","InstrumentPropertyAccessors","Common","JS","Enabled","Dedicated","CILabel","Methods","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156018.4","155301.5","5028.826986200943","144831","166940","154624.48027596422","157412.31972403577","commonmain-plain-jar","1855.6606","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6140.5356","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137260.16","137405","2602.1080807056173","131591","143484","136538.89243845508","137981.42756154493","commonmain-plain-linux-exe","16468.3001","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154750.68","153428","4962.350321353454","146002","165748","153375.1866673619","156126.17333263808","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2243.7298","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3875.5877","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137950.72","137851","3126.129490835174","131941","145343","137084.20111415998","138817.23888584002","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16484.6371","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154829.46","154203","5377.17658714941","145470","174251","153338.98269286292","156319.93730713706","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2243.7298","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3875.5877","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137172.76","136859","3645.826065012775","132094","155887","136162.1885732299","138183.3314267701","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16484.6371","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155355.9","155546.5","4373.182487780332","146623","163787","154143.7156589495","156568.08434105047","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2328.9934","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
