"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","CILabel","JS","Reference","Native","JVM","InstrumentPropertyAccessors","Methods","TestKIR","Common","Dedicated","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"196193.88","189308","14694.212329529817","181761","229350","192120.85214449704","200266.90785550297","commonmain-plain-jar","3251.5867","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7608.6404","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258663.92","259385","14421.89298741355","228117","289993","254666.37521505286","262661.46478494717","commonmain-plain-win-exe","91807.2094","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240363.42","243297","18763.498507702967","200419","276543","235162.44356283647","245564.39643716355","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3730.5867","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6758.2168","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"286790.76","286572","13505.710865483565","254510","327989","283047.1679428105","290534.3520571895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","57106.5079","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217233.3","216693.5","16739.00082265415","186016","255874","212593.4856911415","221873.11430885846","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3730.5867","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6758.2168","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242517.82","242609.5","15018.490294368496","218311","290797","238354.90687850973","246680.73312149028","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","57106.5079","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189190.88","188283","5086.765507888574","183380","212722","187780.90053710595","190600.85946289406","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3269.2416","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5188.4939","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230988.04","221682.5","24003.919798913117","216915","326989","224334.49288977118","237641.58711022884","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24290.7067","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"323406.88","226601","298655.494270343","211421","2258974","240623.80050702562","406189.9594929744","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3269.2416","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5188.4939","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"269219.42","255507","32368.468728062988","232652","336999","260247.33821617867","278191.50178382127","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24290.7067","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221529.12","222443.5","7925.7521438996955","209428","241544","219332.21358991353","223726.02641008646","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3382.0897","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4851.2811","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249881.72","246770.5","16745.00142660916","226585","313595","245240.24240858437","254523.19759141564","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19416.1717","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219950.98","218787","6719.623016910081","207415","234177","218088.39552710849","221813.56447289154","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3382.0897","50","False","500","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","System.Boolean[]","2026-06-15 02:56:02","677c410b4bbdf5bb01b51f17ecacaf9ed6368a67","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
