"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JS","Native","Common","TestKIR","CILabel","JVM","Methods","FlushEarly","InstrumentPropertyAccessors","Dedicated","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144480.72","144136.5","4978.128117340197","132998","157223","143100.85328544042","145860.58671455958","commonmain-plain-jar","1899.3695","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5977.5891","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143706.72","143926.5","3392.719690689438","137349","150625","142766.30608081896","144647.13391918104","commonmain-plain-linux-exe","17275.5151","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143384.96","143591.5","4608.454918197772","134590","153584","142107.56146840754","144662.35853159244","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2136.6285","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4065.6014","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144151.88","144033","4446.989257317121","137498","162336","142919.23746619263","145384.52253380738","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19499.5474","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143393.86","143675.5","5459.813045352752","133537","156491","141880.47703527514","144907.24296472484","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2136.6285","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4065.6014","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144269.1","143649.5","2767.6036068212147","140246","155347","143501.95941901632","145036.2405809837","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19499.5474","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144355.84","143372","5955.230920864139","135230","165796","142705.13420627147","146006.54579372852","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2267.6086","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
