"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","TestKIR","JVM","CILabel","Methods","Common","Reference","Enabled","Native","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191091.68","189292","8330.597654626305","183690","236188","188782.55613957418","193400.8038604258","commonmain-plain-jar","2738.2455","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8360.5719","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225712.62","223850.5","8762.914720780609","219065","277111","223283.66396256682","228141.57603743317","commonmain-plain-win-exe","103594.7027","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188567.34","186797.5","5958.837352733043","181821","218763","186915.63455435875","190219.04544564124","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3730.7556","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5215.2224","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222896.06","222696.5","4351.809416829759","215673","236291","221689.79997196386","224102.32002803613","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24357.7091","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188725.94","187547","6801.625200176313","180779","224392","186840.62568156348","190611.25431843652","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3730.7556","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5215.2224","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224207.32","221846.5","8985.484506351204","216897","278945","221716.67076553847","226697.96923446155","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24357.7091","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187160.38","186432.5","3535.363958921459","182050","195605","186180.42710690817","188140.33289309184","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2447.8265","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
