"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","InstrumentPropertyAccessors","Enabled","TestKIR","Native","Common","JS","Dedicated","Methods","FlushEarly","JVM","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"145884.28","145163","6100.468911518864","137726","170467","144193.31628918494","147575.24371081506","commonmain-plain-jar","1944.4408","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6181.2829","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121357.72","120280","4050.417983167583","115984","133010","120235.00141516521","122480.43858483479","commonmain-plain-linux-exe","15852.7715","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146318.84","146582","4570.385440629529","137245","154673","145051.99378921947","147585.68621078052","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2895.155","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4339.4858","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122766.22","122508","2658.3759296354806","117567","130055","122029.35578645897","123503.08421354103","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17743.4907","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144032.7","143233","5532.650035775564","132619","156302","142499.1276515743","145566.27234842573","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2895.155","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4339.4858","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122501.32","121750","3172.7400855746514","117600","133583","121621.88131645473","123380.75868354528","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17743.4907","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145046.54","145376.5","4541.90803746799","135088","156972","143787.58732265484","146305.49267734517","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2400.4269","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4421.4332","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123041.98","122794.5","3299.6920232911784","116731","131102","122127.35203464543","123956.60796535456","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14498.5803","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143989.78","143736.5","5066.522964579579","134199","154821","142585.4114838457","145394.1485161543","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2400.4269","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4421.4332","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122366.66","121982","3622.031674829664","116970","137065","121362.68404169375","123370.63595830626","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14498.5803","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145428.9","144902.5","5726.535613497313","134987","157397","143841.58531131598","147016.214688684","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1879.7308","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2838.3365","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122699.26","122395.5","3157.5182763864227","115605","132093","121824.0405866983","123574.47941330168","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13534.5644","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","System.String[]","System.Boolean[]","True","ci-linux-large","2026-06-16 04:27:47","7691fda1024ac812297a4a979deb71ae140aceca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.74","145","84","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
