"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Dedicated","InstrumentPropertyAccessors","JVM","CILabel","Methods","Native","Common","Reference","Enabled","JS","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"160939.4","158772","7962.6146562084305","151517","198463","158732.27582280288","163146.5241771971","commonmain-plain-jar","2027.6504","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5903.8558","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206824.74","204563","13664.872331236014","183319","253090","203037.03063532955","210612.44936467044","commonmain-plain-win-exe","86335.3467","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"159792.06","157718","5132.842576457404","153785","174854","158369.3086253102","161214.8113746898","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","31352.3382","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6462.748","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204454.74","203167","10877.226480615922","188562","236803","201439.72664286138","207469.7533571386","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","33904.5869","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"164612.3","163377","7006.983648256843","146755","182727","162670.0632238885","166554.5367761115","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","31352.3382","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6462.748","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208099.44","209146.5","14494.268066447536","185060","254800","204081.8338666567","212117.0461333433","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","33904.5869","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"163116.32","164143.5","11580.43820051376","136420","189762","159906.38629876755","166326.25370123246","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2246.408","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
