"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","Common","Methods","FlushEarly","CILabel","Native","TestKIR","Enabled","InstrumentPropertyAccessors","Reference","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"181426.84","179587.5","6828.388327969568","175442","219970","179534.1073210173","183319.5726789827","commonmain-plain-jar","2473.0108","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7850.7155","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231021.58","229869.5","4801.174457040566","225107","248807","229690.76233763664","232352.39766236334","commonmain-plain-win-exe","104103.6363","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179857.84","179419","3820.1692203142966","175346","202174","178798.94311610196","180916.73688389803","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3166.3011","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4681.2944","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226036.02","225539.5","2575.0288010277573","221551","237666","225322.25843183268","226749.7815681673","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25070.1576","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179736.8","180037.5","2569.258481129749","173769","183736","179024.63788290587","180448.9621170941","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3166.3011","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4681.2944","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224830.56","224608","2180.6905586655485","220602","231786","224226.10341597284","225435.01658402715","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25070.1576","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178976.06","178825.5","2070.374671898982","174168","183462","178402.18141972212","179549.93858027787","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3557.7935","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
