"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Dedicated","JS","TestKIR","CILabel","Enabled","Common","FlushEarly","Reference","JVM","InstrumentPropertyAccessors","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"158544.18","156330.5","10416.267478873058","142590","188875","155656.9379593661","161431.4220406339","commonmain-plain-jar","1907.1635","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6318.9967","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136529.94","135720.5","3389.294914393655","132422","151591","135590.47538037575","137469.40461962426","commonmain-plain-linux-exe","17664.3164","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158459.3","158028.5","7576.725333923245","143427","173305","156359.1388857804","160559.46111421956","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2350.7213","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3877.3254","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136836.9","136843.5","2132.3583116792906","132535","141808","136245.8404313337","137427.9595686663","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19208.996","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157878.46","157668.5","4523.24059925796","148988","168512","156624.68167253592","159132.23832746406","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2350.7213","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3877.3254","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135740.96","135536","2449.4004594210896","131139","143180","135062.02083151834","136419.89916848164","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19208.996","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154729.6","154358.5","4641.717315030404","140774","164109","153442.98160239487","156016.21839760515","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1738.1403","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
