"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Dedicated","TestKIR","CILabel","Methods","Native","Enabled","JS","Common","InstrumentPropertyAccessors","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156091.24","153381","14112.767264416707","144246","247740","152179.38049388118","160003.0995061188","commonmain-plain-jar","2117.6901","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6292.8986","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135684.84","135231","3559.094383550458","130994","153301","134698.30936879132","136671.37063120867","commonmain-plain-linux-exe","17139.6019","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153964.98","153968.5","3922.5323270477575","144671","161248","152877.7095105115","155052.25048948854","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2974.6574","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3892.843","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134825.48","134151","2821.245326707585","130411","143966","134043.47069285295","135607.48930714707","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37833.8816","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153434.8","153887.5","5304.055252582592","142495","164204","151964.5908927394","154905.0091072606","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2974.6574","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3892.843","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137595.24","135358","16997.09953355188","129164","253717","132883.8843784545","142306.59562154548","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37833.8816","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154632.08","154409","5032.397054676665","144526","166696","153237.17070346983","156026.98929653014","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2202.1609","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
