"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","InstrumentPropertyAccessors","Reference","Methods","Dedicated","JVM","Native","FlushEarly","TestKIR","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"143323.14","142645.5","6482.178995601741","133812","166696","141526.37165193525","145119.90834806478","commonmain-plain-jar","1877.7454","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5970.009","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143160.92","142616.5","3446.4616510033497","137331","157034","142205.60956942666","144116.23043057337","commonmain-plain-linux-exe","15421.5326","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143291.68","143389.5","4405.466189234664","132335","152047","142070.5470734552","144512.81292654478","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2747.5745","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4383.4647","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142320.54","142133.5","2570.8244862657725","137151","148330","141607.94380842827","143033.13619157174","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","23197.9224","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142181.34","142281","3796.693226146852","134719","150218","141128.95032969295","143233.72967030705","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2747.5745","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4383.4647","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142639.08","142243.5","3196.267126585292","138006","154253","141753.1199534007","143525.0400465993","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","23197.9224","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143159.08","141742.5","5080.906020924751","135707","158006","141750.72470402875","144567.43529597123","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2179.0886","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
