"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","TestKIR","JS","InstrumentPropertyAccessors","Methods","Reference","Native","Dedicated","JVM","Enabled","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"179548.64","176590.5","14930.722571959348","172019","280237","175410.05484997018","183687.22515002984","commonmain-plain-jar","2896.856","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7477.394","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229032.24","227487.5","4698.691596256845","223981","245715","227729.82913735634","230334.65086264364","commonmain-plain-win-exe","100979.2291","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178410.1","178614.5","2810.4840548291636","172618","190148","177631.07356523414","179189.12643476587","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3528.1183","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4734.22","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232728.12","229661","7429.787182493375","226906","256314","230668.68806339052","234787.55193660947","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24955.4629","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177877.62","177592.5","3150.8886850719246","173750","194665","177004.23821565649","178751.0017843435","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3528.1183","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4734.22","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233320.22","229628","12440.10951997528","226507","293690","229871.99756629107","236768.44243370893","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24955.4629","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178044.46","177554","4030.7431846765335","174317","203158","176927.19499107034","179161.72500892964","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3618.6818","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
