"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","CILabel","TestKIR","Methods","Native","Reference","Enabled","JVM","FlushEarly","Dedicated","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"85784.08","83332.5","8515.445356886652","73713","115193","83423.71897058221","88144.4410294178","commonmain-plain-jar","1211.8302","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4020.0406","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"70967.2","71059.5","1968.4799481128707","66031","75447","70421.56519618338","71512.83480381662","commonmain-plain-linux-exe","10065.1694","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"85353.84","84760.5","6250.701803405922","75119","110587","83621.23385611358","87086.44614388641","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1354.7091","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2323.7983","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"70475.96","70347.5","2723.505686217149","66238","84811","69721.04273898489","71230.87726101512","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","9912.5025","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84768.54","83307.5","5333.984390487019","77824","106234","83290.03495896341","86247.04504103657","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1354.7091","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2323.7983","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"70517.1","70034","2259.9265136147187","66685","77374","69890.680329798","71143.51967020202","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","9912.5025","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"83394.88","82952","4086.7860813972193","76471","93751","82262.08069264541","84527.6793073546","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1492.2209","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2473.1719","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"70708.62","70093.5","3142.253779031339","65200","81937","69837.63168949804","71579.60831050195","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","9846.8416","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"83579.48","82448","5530.140730541298","76659","112644","82046.60319549918","85112.35680450081","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1492.2209","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2473.1719","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"71058.2","70696","2851.321856004792","66789","78786","70267.85390426725","71848.54609573275","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","9846.8416","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84351.36","83563.5","4825.703238420916","77160","102871","83013.74330631853","85688.97669368147","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1047.5515","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","1868.0413","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"69928.8","69674","1990.636745632217","66207","74140","69377.02364524746","70480.57635475254","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","9108.7285","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"83263.42","82831.5","4239.454128752417","75442","95139","82088.3032689157","84438.5367310843","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1047.5515","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","1868.0413","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"70942.36","70850.5","2450.3277061966837","66650","77493","70263.16381182507","71621.55618817493","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","9108.7285","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"85361.48","84791.5","5639.211796276612","77203","108789","83798.3702385358","86924.58976146419","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1009.0951","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1824.3337","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"70081.3","70038.5","2586.5216517752256","66300","81180","69364.35277613481","70798.2472238652","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","8608.4674","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84038.08","84429.5","3423.2899967184567","77240","92618","83089.19242430611","84986.9675756939","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1009.0951","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1824.3337","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"70522","70476.5","1942.2314959019352","67097","75777","69983.64089593655","71060.35910406345","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","8608.4674","50","False","500","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-21 04:27:41","2633a25885651c52adb4461a7da635b86fbd1951","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V45 96-Core Processor","2","4","15.61","13.8","145","85","0.12","144","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
