"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","CILabel","JS","TestKIR","InstrumentPropertyAccessors","Methods","Enabled","Native","FlushEarly","Dedicated","JVM","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"190858.52","189309","6294.326107904886","184476","212550","189113.82181583156","192603.21818416842","commonmain-plain-jar","3884.996","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9446.7204","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228425.32","224020","24463.56601188713","220243","395740","221644.36545974802","235206.274540252","commonmain-plain-win-exe","104265.1314","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191381.82","190223.5","4959.843869703635","185219","211362","190007.02142031357","192756.61857968644","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4365.2642","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4666.0138","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233759.9","232388.5","4765.872403380741","228534","249982","232438.86756767746","235080.93243232253","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26275.9781","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197435.76","196981.5","4663.432980725067","189201","216891","196143.12232696236","198728.39767303766","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4365.2642","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4666.0138","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225810.14","223642.5","7210.095212963557","219972","252322","223811.60357050985","227808.67642949018","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26275.9781","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191853.64","191606.5","3754.5948218041276","187070","206651","190812.91941203063","192894.3605879694","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2434.1678","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
