"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Methods","Enabled","Common","Native","FlushEarly","Dedicated","InstrumentPropertyAccessors","Reference","JS","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"142884.78","142119","6671.396348316184","131863","162769","141035.563277632","144733.996722368","commonmain-plain-jar","1799.2015","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5763.4455","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143110.9","142773","3846.099053400918","137471","153677","142044.81573306423","144176.98426693576","commonmain-plain-linux-exe","16249.2825","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141950.98","141765.5","4032.6702779945217","132224","154135","140833.18082805513","143068.7791719449","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2276.2234","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3206.827","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142159.5","141755.5","3244.5141785947","137087","150498","141260.16655288264","143058.83344711736","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15540.6125","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142325.98","140697","4920.099163137064","133575","156942","140962.19809091312","143689.7619090869","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2276.2234","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3206.827","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142681.62","142568","2933.27714541888","137095","149543","141868.55705703492","143494.68294296507","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15540.6125","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142051.48","141468.5","4617.343052767335","133224","152230","140771.61780319887","143331.34219680115","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2127.107","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
