"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Reference","Dedicated","JS","FlushEarly","JVM","CILabel","Native","Enabled","InstrumentPropertyAccessors","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"197803.44","193287.5","13100.134550111325","180229","228365","194172.26796186276","201434.61203813725","commonmain-plain-jar","2892.1963","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8592.3797","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236438.22","231784.5","13311.465912758467","221877","273511","232748.46989673752","240127.9701032625","commonmain-plain-win-exe","88305.092","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193752.36","191345.5","9147.38098518714","186774","248092","191216.8353511087","196287.88464889128","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4070.1924","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4818.0255","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223713.78","221951.5","6013.644113350974","218991","252371","222046.88289538032","225380.67710461968","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25899.5132","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198019.04","196450.5","6765.780260175436","190360","226371","196143.66139202067","199894.41860797934","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4070.1924","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4818.0255","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227285.18","224006","6976.863041920365","221078","247316","225351.29223000613","229219.06776999385","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25899.5132","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198469.98","197656.5","7265.145358575044","189692","235114","196456.1844486531","200483.77555134692","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4024.6877","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
