"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Dedicated","FlushEarly","JS","Enabled","Native","CILabel","Reference","Common","TestKIR","InstrumentPropertyAccessors","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"205078.94","188496","38319.7345429911","180979","317992","194457.251493742","215700.628506258","commonmain-plain-jar","2655.4088","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7828.3676","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225516.96","220920","10452.021161752129","217622","267790","222619.80754409253","228414.11245590745","commonmain-plain-win-exe","91189.4426","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188831.96","187403.5","5096.922680862824","183819","207703","187419.16511239792","190244.75488760206","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4318.4047","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5053.0644","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240719.68","229560","42589.925857035196","217587","501321","228914.35484957317","252525.00515042682","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26986.0869","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188703","187933.5","2906.2645145566894","185036","197329","187897.42457630337","189508.57542369663","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4318.4047","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5053.0644","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223918.76","219628.5","15477.691049602288","216995","314882","219628.56292307263","228208.95707692739","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26986.0869","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189101.34","188757","2907.075286052205","183756","202604","188295.53984191056","189907.14015808943","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4342.7546","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
