"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Native","Methods","Enabled","Reference","JS","Common","Dedicated","TestKIR","JVM","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144157.54","141854","8273.721234716331","134564","182013","141864.18147883972","146450.8985211603","commonmain-plain-jar","1882.264","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6047.5632","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143798.28","142357","5457.080093281552","137141","165897","142285.6545709405","145310.9054290595","commonmain-plain-linux-exe","16585.5845","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142511.3","141527","4618.135564471525","133923","157255","141231.21813016196","143791.38186983802","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2398.762","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3714.4726","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143129.16","142987","3122.5203736855956","137289","154259","142263.64151039452","143994.6784896055","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34262.5591","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142571.36","142059.5","5076.57742956486","134078","155681","141164.20452833973","143978.51547166024","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2398.762","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3714.4726","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143018.38","142698","4062.6622561757576","137259","162608","141892.2674758431","144144.4925241569","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34262.5591","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141355.12","141393","4139.9224859153765","132384","148394","140207.59203275605","142502.64796724395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2665.343","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3559.0598","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142159.48","141450","3016.3937397941586","136596","152076","141323.37831249027","142995.58168750975","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15305.8659","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142547.54","141407","4850.37295519528","134168","154103","141203.08520970226","143891.99479029776","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2665.343","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3559.0598","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143412.04","142806.5","4467.751596149674","136873","156327","142173.64243948457","144650.43756051545","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15305.8659","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142137.96","141305.5","5675.767667074847","132234","165234","140564.7174681154","143711.20253188457","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1663.1004","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2679.7768","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143658.92","142983.5","5199.578333924035","137638","171641","142217.67041710252","145100.1695828975","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14194.8406","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142833.54","142421.5","5293.265387032","132262","155088","141366.32169088218","144300.75830911784","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1663.1004","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2679.7768","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142628.44","141411","4560.277158422791","137447","167627","141364.39566209813","143892.48433790187","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14194.8406","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142479.18","142458","4895.708010709222","133197","154213","141122.15897343194","143836.20102656804","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1485.9069","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3088.7423","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142615.82","141380.5","5734.675741914095","137059","166775","141026.24898283475","144205.39101716527","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13925.9943","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-24 03:51:07","84cdcfd1d083f9d5f9485d2a8ddcbb67b8c12f12","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
