"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Methods","JVM","Native","FlushEarly","TestKIR","CILabel","Dedicated","Common","JS","Enabled","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"223304.52","220205","20452.043746226223","205910","355436","217635.50270174444","228973.53729825554","commonmain-plain-jar","3000.4936","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9151.0312","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242241.02","241793","8595.644797767516","228609","263149","239858.42881973245","244623.61118026753","commonmain-plain-win-exe","100319.7617","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216994.34","216650.5","9244.4095154966","185558","250022","214431.92041466254","219556.75958533745","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3672.8562","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4634.6811","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248852.78","247519.5","23278.699335369463","219798","354331","242400.25374636092","255305.30625363908","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25265.0637","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207308.92","213776","14983.589646254566","188247","245904","203155.68084460983","211462.1591553902","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3672.8562","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4634.6811","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228692.08","220898.5","13303.178677753858","216149","262770","225004.6270010846","232379.53299891538","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25265.0637","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189151.1","187046.5","7296.486532879355","182800","219609","187128.61711835576","191173.58288164425","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4464.3045","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
