"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Reference","JVM","Dedicated","TestKIR","Enabled","FlushEarly","Native","InstrumentPropertyAccessors","Methods","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"145426.16","144476","6738.849497154995","135700","168906","143558.24621868113","147294.07378131888","commonmain-plain-jar","1882.7227","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6211.8256","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143472.94","143616.5","3457.256139879527","137364","151667","142514.6374897634","144431.2425102366","commonmain-plain-linux-exe","15676.5274","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142931.76","142521.5","4292.653660782404","134711","151142","141741.89711097282","144121.6228890272","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2439.4917","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3890.1633","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145496.2","144090.5","8544.84783542763","137797","191121","143127.6890193339","147864.71098066613","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36319.5834","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143499.08","143598","4628.559695046857","135616","153966","142216.1087085822","144782.05129141777","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2439.4917","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3890.1633","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143768.18","143924","3161.1359666410804","137722","151395","142891.95781412028","144644.4021858797","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36319.5834","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143946.76","144712","4792.543564619471","133984","155469","142618.33469895966","145275.18530104036","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2708.4791","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
