"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Enabled","Common","Reference","JS","Dedicated","InstrumentPropertyAccessors","Native","CILabel","JVM","Methods","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191531.64","182880.5","19185.78920074726","178532","246455","186213.6105546645","196849.66944533552","commonmain-plain-jar","2560.7937","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7334.1219","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"265242.86","242259","49137.34037514917","231909","397780","251622.6841372141","278863.0358627859","commonmain-plain-win-exe","90847.9888","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202261.56","199414","9299.46356398901","185476","236651","199683.8802109824","204839.2397890176","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3253.1318","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4804.2497","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242869.08","238236","15413.409196368397","225103","288124","238596.70094372955","247141.45905627043","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27162.4055","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187081.2","186298.5","3167.5261705021994","182445","198983","186203.2065399788","187959.19346002123","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3253.1318","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4804.2497","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228963.18","227554.5","3640.044127844202","223815","241084","227954.21124444617","229972.14875555382","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27162.4055","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186963.5","186068","4279.980155637764","181584","206680","185777.15002737305","188149.84997262695","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3166.719","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
