"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","FlushEarly","Reference","Native","InstrumentPropertyAccessors","Enabled","Dedicated","TestKIR","JS","JVM","Common","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155845.68","153296","10810.101248256236","135356","189932","152849.27280800158","158842.0871919984","commonmain-plain-jar","2096.5142","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6402.1602","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136309.4","133420.5","15893.485644073404","129249","244110","131903.9505415588","140714.8494584412","commonmain-plain-linux-exe","16136.5349","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151754.2","150731","7792.484657851894","137256","170185","149594.2334524072","153914.16654759282","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1769.9914","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4681.0262","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132750.14","132628","2501.0046063980953","128143","139853","132056.89689175057","133443.38310824946","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19035.4398","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153072.14","151895.5","6970.334568756952","141354","170308","151140.06183044286","155004.21816955716","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1769.9914","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4681.0262","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133550.86","132719.5","4769.871144496677","127163","151322","132228.7191731894","134873.00082681057","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19035.4398","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154996.6","154985","9747.581682297472","135226","181339","152294.70820577285","157698.49179422716","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2347.1035","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
