"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Enabled","CILabel","JVM","Methods","Dedicated","FlushEarly","InstrumentPropertyAccessors","Reference","Native","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"215840.7","216409.5","13747.10280312153","185490","264296","212030.19751140772","219651.2024885923","commonmain-plain-jar","3089.7138","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9201.2294","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233958.52","222071","21342.369250724852","216854","290122","228042.71706268028","239874.3229373197","commonmain-plain-win-exe","96444.5917","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220552.6","223480","16465.82712338323","186247","286023","215988.50557741846","225116.69442258155","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3567.2526","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4730.9106","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"267200.76","259480","31151.24351929418","228780","331420","258566.07583032455","275835.44416967547","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26466.1843","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204783.42","196502.5","18617.772483532273","184595","263533","199622.83675591197","209944.00324408806","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3567.2526","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4730.9106","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244172.38","242090.5","24426.993221275618","217940","323780","237401.56292010137","250943.19707989864","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26466.1843","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217357.52","220114","13909.499771283901","191653","241169","213502.00336841447","221213.0366315855","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2754.5","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
